Year;Country;pais_iso;continente;ECI;ECI+
1968;Trinidad and Tobago;tto;na;0.019173;-0.096638
1968;United States;usa;na;1.80736;1.66014
1968;Australia;aus;oc;0.268314;0.79176
1968;New Zealand;nzl;oc;0.116224;0.48963
1968;Argentina;arg;sa;-0.2747;0.29763
1968;Bolivia;bol;sa;-0.876756;-1.68099
1968;Brazil;bra;sa;-0.702449;0.149042
1968;Chile;chl;sa;-0.20273;0.122806
1968;Colombia;col;sa;-0.168593;0.165698
1968;Ecuador;ecu;sa;-0.891331;-1.20624
1968;Peru;per;sa;-0.697814;-0.817121
1968;Paraguay;pry;sa;-0.587674;-0.668546
1968;Uruguay;ury;sa;0.335919;0.49322
1968;Venezuela;ven;sa;-0.394938;-0.30713
1969;Angola;ago;af;-1.22352;-1.24938
1969;Cote d'Ivoire;civ;af;-1.18414;-0.904762
1969;Cameroon;cmr;af;-0.843236;-0.696877
1969;Republic of the Congo;cog;af;-0.844418;-0.903495
1969;Algeria;dza;af;-0.521161;-0.178434
1969;Egypt;egy;af;-0.214962;0.201098
1969;Ethiopia;eth;af;-0.87046;-0.884006
1969;Gabon;gab;af;-1.41464;-1.76508
1969;Ghana;gha;af;-0.851496;-1.20673
1969;Guinea;gin;af;-1.16134;-1.90369
1969;Kenya;ken;af;-0.752076;-0.42848
1969;Morocco;mar;af;-0.411634;-0.346309
1969;Madagascar;mdg;af;-1.05855;-0.965817
1969;Mozambique;moz;af;-0.821813;-0.704516
1969;Mauritania;mrt;af;-0.541496;-0.952634
1969;Nigeria;nga;af;-1.6612;-1.45732
1969;Sudan;sdn;af;-1.39571;-1.54302
1969;Senegal;sen;af;-0.425614;-0.939444
1969;Togo;tgo;af;-1.36065;-1.60276
1969;Tunisia;tun;af;-0.084226;-0.123778
1969;Tanzania;tza;af;-1.30574;-1.3524
1969;South Africa;zaf;af;-0.409667;0.310346
1969;Zambia;zmb;af;-0.842796;-0.910609
1969;Zimbabwe;zwe;af;1.08494;0.842689
1969;United Arab Emirates;are;as;0.693872;-0.931901
1969;China;chn;as;0.541641;0.622565
1969;Hong Kong;hkg;as;1.26272;1.16906
1969;Indonesia;idn;as;-1.0897;-0.719451
1969;India;ind;as;0.052822;0.396243
1969;Iran;irn;as;-0.76819;-0.467554
1969;Israel;isr;as;0.712611;0.76773
1969;Jordan;jor;as;0.596004;0.266131
1969;Japan;jpn;as;1.94451;1.72511
1969;Cambodia;khm;as;-0.922801;-0.772925
1969;South Korea;kor;as;0.732955;0.576573
1969;Kuwait;kwt;as;-0.991073;-0.178129
1969;Laos;lao;as;-0.923599;-1.657
1969;Lebanon;lbn;as;0.533752;0.778901
